Launch Country,# of launches,Lat,Long
Argentina,15,-34,-64
Australia,7,-25,135
Belarus,2,53,28
Belgium,3,50.833333,4
Brazil,9,-10,-55
Canada,28,60,-96
China,180,35,105
Denmark,3,56,10
Europe,33,54,15
Egypt,2,27,30
France,9,46,2
Belgium,2,50.833333,4
Germany,24,51.5,10.5
India,38,20,77
Indonesia,8,-5,120
Israel,12,31.5,34.75
Italy,7,42.833333,12.833333
Japan,57,36,138
Kazakhstan,4,48,68
Luxembourg,18,49.75,6.166667
Malaysia,4,2.5,112.5
Mexico,4,23,-102
Netherlands,10,52.5,5.75
Nigeria,3,10,8
Norway,6,62,10
Russia,136,60,100
Saudi Arabia,11,25,45
Singapore,9,1.366667,103.8
South Africa,2,-30,26
South Korea,9,37,127.5
Spain,15,40,-4
Sweden,2,62,15
Switzerland,2,47,8
Taiwan,5,24,121
Thailand,5,15,100
Turkey,6,39.059012,34.911546
United States,561,39.828175,-98.5795
United Arab Emirates,6,24,54
United Kingdom,41,54,-4
Venezuela,2,8,-66
Vietnam,3,16.166667,107.833333
